Column1,Column2,Column3,Column4,Column5
$, dollar ,dollar,$,DOLLAR
4ao, for adults only,for adults only,4AO,FOR ADULTS ONLY
7K,Sick:-D Laugher,Sick:-D Laugher,7K,SICK:-D LAUGHER
a.m, before midday,before midday,A.M,BEFORE MIDDAY
€, euro ,euro,�,EURO
a3, anytime anywhere anyplace,anytime anywhere anyplace,A3,ANYTIME ANYWHERE ANYPLACE
A3,"Anytime, Anywhere, Anyplace","Anytime, Anywhere, Anyplace",A3,"ANYTIME, ANYWHERE, ANYPLACE"
aamof, as a matter of fact,as a matter of fact,AAMOF,AS A MATTER OF FACT
acct, account,account,ACCT,ACCOUNT
adih, another day in hell,another day in hell,ADIH,ANOTHER DAY IN HELL
afaic, as far as i am concerned,as far as i am concerned,AFAIC,AS FAR AS I AM CONCERNED
afaict, as far as i can tell,as far as i can tell,AFAICT,AS FAR AS I CAN TELL
afaik, as far as i know,as far as i know,AFAIK,AS FAR AS I KNOW
AFAIK,As Far As I Know,As Far As I Know,AFAIK,AS FAR AS I KNOW
afair, as far as i remember,as far as i remember,AFAIR,AS FAR AS I REMEMBER
afk, away from keyboard,away from keyboard,AFK,AWAY FROM KEYBOARD
AFK,Away From Keyboard,Away From Keyboard,AFK,AWAY FROM KEYBOARD
app, application,application,APP,APPLICATION
approx, approximately,approximately,APPROX,APPROXIMATELY
apps, applications,applications,APPS,APPLICATIONS
asap, as soon as possible,as soon as possible,ASAP,AS SOON AS POSSIBLE
ASAP,As Soon As Possible,As Soon As Possible,ASAP,AS SOON AS POSSIBLE
asl, age sex location,age sex location,ASL,AGE SEX LOCATION
ASL,"Age, Sex, Location","Age, Sex, Location",ASL,"AGE, SEX, LOCATION"
atk, at the keyboard,at the keyboard,ATK,AT THE KEYBOARD
ATK,At The Keyboard,At The Keyboard,ATK,AT THE KEYBOARD
ATM,At The Moment,At The Moment,ATM,AT THE MOMENT
ave., avenue,avenue,AVE.,AVENUE
aymm, are you my mother,are you my mother,AYMM,ARE YOU MY MOTHER
ayor, at your own risk,at your own risk,AYOR,AT YOUR OWN RISK
b&b, bed and breakfast,bed and breakfast,B&B,BED AND BREAKFAST
b.c, before christ,before christ,B.C,BEFORE CHRIST
b@u, back at you,back at you,B@U,BACK AT YOU
b+b, bed and breakfast,bed and breakfast,B+B,BED AND BREAKFAST
b2b, business to business,business to business,B2B,BUSINESS TO BUSINESS
b2c, business to customer,business to customer,B2C,BUSINESS TO CUSTOMER
b4, before,before,B4,BEFORE
B4,Before,Before,B4,BEFORE
b4n, bye for now,bye for now,B4N,BYE FOR NOW
B4N,Bye For Now,Bye For Now,B4N,BYE FOR NOW
B4N,Bye For Now,Bye For Now,B4N,BYE FOR NOW
bae, before anyone else,before anyone else,BAE,BEFORE ANYONE ELSE
bak, back at keyboard,back at keyboard,BAK,BACK AT KEYBOARD
BAK,Back At Keyboard,Back At Keyboard,BAK,BACK AT KEYBOARD
bbbg, bye bye be good,bye bye be good,BBBG,BYE BYE BE GOOD
bbc, british broadcasting corporation,british broadcasting corporation,BBC,BRITISH BROADCASTING CORPORATION
bbias, be back in a second,be back in a second,BBIAS,BE BACK IN A SECOND
bbl, be back later,be back later,BBL,BE BACK LATER
BBL,Be Back Later,Be Back Later,BBL,BE BACK LATER
bbs, be back soon,be back soon,BBS,BE BACK SOON
BBS,Be Back Soon,Be Back Soon,BBS,BE BACK SOON
be4, before,before,BE4,BEFORE
bfn, bye for now,bye for now,BFN,BYE FOR NOW
BFN,Bye For Now,Bye For Now,BFN,BYE FOR NOW
blvd, boulevard,boulevard,BLVD,BOULEVARD
bout, about,about,BOUT,ABOUT
brb, be right back,be right back,BRB,BE RIGHT BACK
BRB,Be Right Back,Be Right Back,BRB,BE RIGHT BACK
bros, brothers,brothers,BROS,BROTHERS
brt, be right there,be right there,BRT,BE RIGHT THERE
BRT,Be Right There,Be Right There,BRT,BE RIGHT THERE
bsaaw, big smile and a wink,big smile and a wink,BSAAW,BIG SMILE AND A WINK
